40;HS400;753468-00011610-1527
Date;Time;I_integral;Position;SOC_relevant;Number_of_turns;Reading_inverted
2026/04/30;00:00:09;-0.1;1;1;1;0
2026/04/30;00:01:09;-0.1;1;1;1;0
2026/04/30;00:02:09;-0.1;1;1;1;0
2026/04/30;00:03:09;-0.1;1;1;1;0
2026/04/30;00:04:09;-0.1;1;1;1;0
2026/04/30;00:05:09;-0.1;1;1;1;0
2026/04/30;00:06:09;-0.1;1;1;1;0
2026/04/30;00:07:09;-0.1;1;1;1;0
2026/04/30;00:08:09;-0.1;1;1;1;0
2026/04/30;00:09:09;-0.1;1;1;1;0
2026/04/30;00:10:09;-0.1;1;1;1;0
2026/04/30;00:11:09;-0.1;1;1;1;0
2026/04/30;00:12:09;-0.1;1;1;1;0
2026/04/30;00:13:09;-0.1;1;1;1;0
2026/04/30;00:14:08;-0.1;1;1;1;0
2026/04/30;00:15:08;-0.1;1;1;1;0
2026/04/30;00:16:08;-0.1;1;1;1;0
2026/04/30;00:17:08;-0.1;1;1;1;0
2026/04/30;00:18:08;-0.1;1;1;1;0
2026/04/30;00:19:08;-0.1;1;1;1;0
2026/04/30;00:20:08;-0.1;1;1;1;0
2026/04/30;00:21:08;-0.1;1;1;1;0
2026/04/30;00:22:08;-0.1;1;1;1;0
2026/04/30;00:23:08;-0.1;1;1;1;0
2026/04/30;00:24:08;-0.1;1;1;1;0
2026/04/30;00:25:08;-0.1;1;1;1;0
2026/04/30;00:26:08;-0.1;1;1;1;0
2026/04/30;00:27:08;-0.1;1;1;1;0
2026/04/30;00:28:08;-0.1;1;1;1;0
2026/04/30;00:29:07;-0.1;1;1;1;0
2026/04/30;00:30:07;-0.1;1;1;1;0
2026/04/30;00:31:07;-0.1;1;1;1;0
2026/04/30;00:32:07;-0.1;1;1;1;0
2026/04/30;00:33:07;-0.1;1;1;1;0
2026/04/30;00:34:07;-0.1;1;1;1;0
2026/04/30;00:35:07;-0.1;1;1;1;0
2026/04/30;00:36:07;-0.1;1;1;1;0
2026/04/30;00:37:07;-0.1;1;1;1;0
2026/04/30;00:38:07;-0.1;1;1;1;0
2026/04/30;00:39:07;-0.1;1;1;1;0
2026/04/30;00:40:07;-0.1;1;1;1;0
2026/04/30;00:41:07;-0.1;1;1;1;0
2026/04/30;00:42:07;-0.1;1;1;1;0
2026/04/30;00:43:07;-0.1;1;1;1;0
2026/04/30;00:44:07;-0.1;1;1;1;0
2026/04/30;00:45:06;-0.1;1;1;1;0
2026/04/30;00:46:06;-0.1;1;1;1;0
2026/04/30;00:47:06;-0.1;1;1;1;0
2026/04/30;00:48:06;-0.1;1;1;1;0
2026/04/30;00:49:06;-0.1;1;1;1;0
2026/04/30;00:50:06;-0.1;1;1;1;0
2026/04/30;00:51:06;-0.1;1;1;1;0
2026/04/30;00:52:06;-0.1;1;1;1;0
2026/04/30;00:53:06;-0.1;1;1;1;0
2026/04/30;00:54:06;-0.1;1;1;1;0
2026/04/30;00:55:06;-0.1;1;1;1;0
2026/04/30;00:56:06;-0.1;1;1;1;0
2026/04/30;00:57:06;-0.1;1;1;1;0
2026/04/30;00:58:06;-0.1;1;1;1;0
2026/04/30;00:59:06;-0.1;1;1;1;0
2026/04/30;01:00:06;-0.1;1;1;1;0
2026/04/30;01:01:05;-0.1;1;1;1;0
2026/04/30;01:02:05;-0.1;1;1;1;0
2026/04/30;01:03:05;-0.1;1;1;1;0
2026/04/30;01:04:05;-0.1;1;1;1;0
2026/04/30;01:05:05;-0.1;1;1;1;0
2026/04/30;01:06:05;-0.1;1;1;1;0
2026/04/30;01:07:05;-0.1;1;1;1;0
2026/04/30;01:08:05;-0.1;1;1;1;0
2026/04/30;01:09:05;-0.1;1;1;1;0
2026/04/30;01:10:05;-0.1;1;1;1;0
2026/04/30;01:11:05;-0.1;1;1;1;0
2026/04/30;01:12:05;-0.1;1;1;1;0
2026/04/30;01:13:05;-0.1;1;1;1;0
2026/04/30;01:14:05;-0.1;1;1;1;0
2026/04/30;01:15:05;-0.1;1;1;1;0
2026/04/30;01:16:04;-0.1;1;1;1;0
2026/04/30;01:17:04;-0.1;1;1;1;0
2026/04/30;01:18:04;-0.1;1;1;1;0
2026/04/30;01:19:04;-0.1;1;1;1;0
2026/04/30;01:20:04;-0.1;1;1;1;0
2026/04/30;01:21:04;-0.1;1;1;1;0
2026/04/30;01:22:04;-0.1;1;1;1;0
2026/04/30;01:23:04;-0.1;1;1;1;0
2026/04/30;01:24:04;-0.1;1;1;1;0
2026/04/30;01:25:04;-0.1;1;1;1;0
2026/04/30;01:26:04;-0.1;1;1;1;0
2026/04/30;01:27:04;-0.1;1;1;1;0
2026/04/30;01:28:04;-0.1;1;1;1;0
2026/04/30;01:29:04;-0.1;1;1;1;0
2026/04/30;01:30:04;-0.1;1;1;1;0
2026/04/30;01:31:04;-0.1;1;1;1;0
2026/04/30;01:32:03;-0.1;1;1;1;0
2026/04/30;01:33:03;-0.1;1;1;1;0
2026/04/30;01:34:03;-0.1;1;1;1;0
2026/04/30;01:35:03;-0.1;1;1;1;0
2026/04/30;01:36:03;-0.1;1;1;1;0
2026/04/30;01:37:03;-0.1;1;1;1;0
2026/04/30;01:38:03;-0.1;1;1;1;0
2026/04/30;01:39:03;-0.1;1;1;1;0
2026/04/30;01:40:03;-0.1;1;1;1;0
2026/04/30;01:41:03;-0.1;1;1;1;0
2026/04/30;01:42:03;-0.1;1;1;1;0
2026/04/30;01:43:03;-0.1;1;1;1;0
2026/04/30;01:44:03;-0.1;1;1;1;0
2026/04/30;01:45:03;-0.1;1;1;1;0
2026/04/30;01:46:03;-0.1;1;1;1;0
2026/04/30;01:47:03;-0.1;1;1;1;0
2026/04/30;01:48:02;-0.1;1;1;1;0
2026/04/30;01:49:02;-0.1;1;1;1;0
2026/04/30;01:50:02;-0.1;1;1;1;0
2026/04/30;01:51:02;-0.1;1;1;1;0
2026/04/30;01:52:02;-0.1;1;1;1;0
2026/04/30;01:53:02;-0.1;1;1;1;0
2026/04/30;01:54:02;-0.1;1;1;1;0
2026/04/30;01:55:02;-0.1;1;1;1;0
2026/04/30;01:56:02;-0.1;1;1;1;0
2026/04/30;01:57:02;-0.1;1;1;1;0
2026/04/30;01:58:02;-0.1;1;1;1;0
2026/04/30;01:59:02;-0.1;1;1;1;0
2026/04/30;02:00:02;-0.1;1;1;1;0
2026/04/30;02:01:02;-0.1;1;1;1;0
2026/04/30;02:02:02;-0.1;1;1;1;0
2026/04/30;02:03:01;-0.1;1;1;1;0
2026/04/30;02:04:01;-0.1;1;1;1;0
2026/04/30;02:05:01;-0.1;1;1;1;0
2026/04/30;02:06:01;-0.1;1;1;1;0
2026/04/30;02:07:01;-0.1;1;1;1;0
2026/04/30;02:08:01;-0.1;1;1;1;0
2026/04/30;02:09:01;-0.1;1;1;1;0
2026/04/30;02:10:01;-0.1;1;1;1;0
2026/04/30;02:11:01;-0.1;1;1;1;0
2026/04/30;02:12:01;-0.1;1;1;1;0
2026/04/30;02:13:01;-0.1;1;1;1;0
2026/04/30;02:14:01;-0.1;1;1;1;0
2026/04/30;02:15:01;-0.1;1;1;1;0
2026/04/30;02:16:01;-0.1;1;1;1;0
2026/04/30;02:17:01;-0.1;1;1;1;0
2026/04/30;02:18:01;-0.1;1;1;1;0
2026/04/30;02:19:00;-0.1;1;1;1;0
2026/04/30;02:20:00;-0.1;1;1;1;0
2026/04/30;02:21:00;-0.1;1;1;1;0
2026/04/30;02:22:00;-0.1;1;1;1;0
2026/04/30;02:23:00;-0.1;1;1;1;0
2026/04/30;02:24:00;-0.1;1;1;1;0
2026/04/30;02:25:00;-0.1;1;1;1;0
2026/04/30;02:26:00;-0.1;1;1;1;0
2026/04/30;02:27:00;-0.1;1;1;1;0
2026/04/30;02:28:00;-0.1;1;1;1;0
2026/04/30;02:29:00;-0.1;1;1;1;0
2026/04/30;02:30:00;-0.1;1;1;1;0
2026/04/30;02:31:00;-0.1;1;1;1;0
2026/04/30;02:32:00;-0.1;1;1;1;0
2026/04/30;02:33:00;-0.1;1;1;1;0
2026/04/30;02:34:00;-0.1;1;1;1;0
2026/04/30;02:34:59;-0.1;1;1;1;0
2026/04/30;02:35:59;-0.1;1;1;1;0
2026/04/30;02:36:59;-0.1;1;1;1;0
2026/04/30;02:37:59;-0.1;1;1;1;0
2026/04/30;02:38:59;-0.1;1;1;1;0
2026/04/30;02:39:59;-0.1;1;1;1;0
2026/04/30;02:40:59;-0.1;1;1;1;0
2026/04/30;02:41:59;-0.1;1;1;1;0
2026/04/30;02:42:59;-0.1;1;1;1;0
2026/04/30;02:43:59;-0.1;1;1;1;0
2026/04/30;02:44:59;-0.1;1;1;1;0
2026/04/30;02:45:59;-0.1;1;1;1;0
2026/04/30;02:46:59;-0.1;1;1;1;0
2026/04/30;02:47:59;-0.1;1;1;1;0
2026/04/30;02:48:59;-0.1;1;1;1;0
2026/04/30;02:49:58;-0.1;1;1;1;0
2026/04/30;02:50:58;-0.1;1;1;1;0
2026/04/30;02:51:58;-0.1;1;1;1;0
2026/04/30;02:52:58;-0.1;1;1;1;0
2026/04/30;02:53:58;-0.1;1;1;1;0
2026/04/30;02:54:58;-0.1;1;1;1;0
2026/04/30;02:55:58;-0.1;1;1;1;0
2026/04/30;02:56:58;-0.1;1;1;1;0
2026/04/30;02:57:58;-0.1;1;1;1;0
2026/04/30;02:58:58;-0.1;1;1;1;0
2026/04/30;02:59:58;-0.1;1;1;1;0
2026/04/30;03:00:58;-0.1;1;1;1;0
2026/04/30;03:01:58;-0.1;1;1;1;0
2026/04/30;03:02:58;-0.1;1;1;1;0
2026/04/30;03:03:58;-0.1;1;1;1;0
2026/04/30;03:04:58;-0.1;1;1;1;0
2026/04/30;03:05:57;-0.1;1;1;1;0
2026/04/30;03:06:57;-0.1;1;1;1;0
2026/04/30;03:07:57;-0.1;1;1;1;0
2026/04/30;03:08:57;-0.1;1;1;1;0
2026/04/30;03:09:57;-0.1;1;1;1;0
2026/04/30;03:10:57;-0.1;1;1;1;0
2026/04/30;03:11:57;-0.1;1;1;1;0
2026/04/30;03:12:57;-0.1;1;1;1;0
2026/04/30;03:13:57;-0.1;1;1;1;0
2026/04/30;03:14:57;-0.1;1;1;1;0
2026/04/30;03:15:57;-0.1;1;1;1;0
2026/04/30;03:16:57;-0.1;1;1;1;0
2026/04/30;03:17:57;-0.1;1;1;1;0
2026/04/30;03:18:57;-0.1;1;1;1;0
2026/04/30;03:19:57;-0.1;1;1;1;0
2026/04/30;03:20:57;-0.1;1;1;1;0
2026/04/30;03:21:56;-0.1;1;1;1;0
2026/04/30;03:22:56;-0.1;1;1;1;0
2026/04/30;03:23:56;-0.1;1;1;1;0
2026/04/30;03:24:56;-0.1;1;1;1;0
2026/04/30;03:25:56;-0.1;1;1;1;0
2026/04/30;03:26:56;-0.1;1;1;1;0
2026/04/30;03:27:56;-0.1;1;1;1;0
2026/04/30;03:28:56;-0.1;1;1;1;0
2026/04/30;03:29:56;-0.1;1;1;1;0
2026/04/30;03:30:56;-0.1;1;1;1;0
2026/04/30;03:31:56;-0.1;1;1;1;0
2026/04/30;03:32:56;-0.1;1;1;1;0
2026/04/30;03:33:56;-0.1;1;1;1;0
2026/04/30;03:34:56;-0.1;1;1;1;0
2026/04/30;03:35:56;-0.1;1;1;1;0
2026/04/30;03:36:55;-0.1;1;1;1;0
2026/04/30;03:37:55;-0.1;1;1;1;0
2026/04/30;03:38:55;-0.1;1;1;1;0
2026/04/30;03:39:55;-0.1;1;1;1;0
2026/04/30;03:40:55;-0.1;1;1;1;0
2026/04/30;03:41:55;-0.1;1;1;1;0
2026/04/30;03:42:55;-0.1;1;1;1;0
2026/04/30;03:43:55;-0.1;1;1;1;0
2026/04/30;03:44:55;-0.1;1;1;1;0
2026/04/30;03:45:55;-0.1;1;1;1;0
2026/04/30;03:46:55;-0.1;1;1;1;0
2026/04/30;03:47:55;-0.1;1;1;1;0
2026/04/30;03:48:55;-0.1;1;1;1;0
2026/04/30;03:49:55;-0.1;1;1;1;0
2026/04/30;03:50:55;-0.1;1;1;1;0
2026/04/30;03:51:55;-0.1;1;1;1;0
2026/04/30;03:52:54;-0.1;1;1;1;0
2026/04/30;03:53:54;-0.1;1;1;1;0
2026/04/30;03:54:54;-0.1;1;1;1;0
2026/04/30;03:55:54;-0.1;1;1;1;0
2026/04/30;03:56:54;-0.1;1;1;1;0
2026/04/30;03:57:54;-0.1;1;1;1;0
2026/04/30;03:58:54;-0.1;1;1;1;0
2026/04/30;03:59:54;-0.1;1;1;1;0
2026/04/30;04:00:54;-0.1;1;1;1;0
2026/04/30;04:01:54;-0.1;1;1;1;0
2026/04/30;04:02:54;-0.1;1;1;1;0
2026/04/30;04:03:54;-0.1;1;1;1;0
2026/04/30;04:04:54;-0.1;1;1;1;0
2026/04/30;04:05:54;-0.1;1;1;1;0
2026/04/30;04:06:54;-0.1;1;1;1;0
2026/04/30;04:07:54;-0.1;1;1;1;0
2026/04/30;04:08:53;-0.1;1;1;1;0
2026/04/30;04:09:53;-0.1;1;1;1;0
2026/04/30;04:10:53;-0.1;1;1;1;0
2026/04/30;04:11:53;-0.1;1;1;1;0
2026/04/30;04:12:53;-0.1;1;1;1;0
2026/04/30;04:13:53;-0.1;1;1;1;0
2026/04/30;04:14:53;-0.1;1;1;1;0
2026/04/30;04:15:53;-0.1;1;1;1;0
2026/04/30;04:16:53;-0.1;1;1;1;0
2026/04/30;04:17:53;-0.1;1;1;1;0
2026/04/30;04:18:53;-0.1;1;1;1;0
2026/04/30;04:19:53;-0.1;1;1;1;0
2026/04/30;04:20:53;-0.1;1;1;1;0
2026/04/30;04:21:53;-0.1;1;1;1;0
2026/04/30;04:22:53;-0.1;1;1;1;0
2026/04/30;04:23:52;-0.1;1;1;1;0
2026/04/30;04:24:52;-0.1;1;1;1;0
2026/04/30;04:25:52;-0.1;1;1;1;0
2026/04/30;04:26:52;-0.1;1;1;1;0
2026/04/30;04:27:52;-0.1;1;1;1;0
2026/04/30;04:28:52;-0.1;1;1;1;0
2026/04/30;04:29:52;-0.1;1;1;1;0
2026/04/30;04:30:52;-0.1;1;1;1;0
2026/04/30;04:31:52;-0.1;1;1;1;0
2026/04/30;04:32:52;-0.1;1;1;1;0
2026/04/30;04:33:52;-0.1;1;1;1;0
2026/04/30;04:34:52;-0.1;1;1;1;0
2026/04/30;04:35:52;-0.1;1;1;1;0
2026/04/30;04:36:52;-0.1;1;1;1;0
2026/04/30;04:37:52;-0.1;1;1;1;0
2026/04/30;04:38:52;-0.1;1;1;1;0
2026/04/30;04:39:51;-0.1;1;1;1;0
2026/04/30;04:40:51;-0.1;1;1;1;0
2026/04/30;04:41:51;-0.1;1;1;1;0
2026/04/30;04:42:51;-0.1;1;1;1;0
2026/04/30;04:43:51;-0.1;1;1;1;0
2026/04/30;04:44:51;-0.1;1;1;1;0
2026/04/30;04:45:51;-0.1;1;1;1;0
2026/04/30;04:46:51;-0.1;1;1;1;0
2026/04/30;04:47:51;-0.1;1;1;1;0
2026/04/30;04:48:51;-0.1;1;1;1;0
2026/04/30;04:49:51;-0.1;1;1;1;0
2026/04/30;04:50:51;-0.1;1;1;1;0
2026/04/30;04:51:51;-0.1;1;1;1;0
2026/04/30;04:52:51;-0.1;1;1;1;0
2026/04/30;04:53:51;-0.1;1;1;1;0
2026/04/30;04:54:51;-0.1;1;1;1;0
2026/04/30;04:55:50;-0.1;1;1;1;0
2026/04/30;04:56:50;-0.1;1;1;1;0
2026/04/30;04:57:50;-0.1;1;1;1;0
2026/04/30;04:58:50;-0.1;1;1;1;0
2026/04/30;04:59:50;-0.1;1;1;1;0
2026/04/30;05:00:50;-0.1;1;1;1;0
2026/04/30;05:01:50;-0.1;1;1;1;0
2026/04/30;05:02:50;-0.1;1;1;1;0
2026/04/30;05:03:50;-0.1;1;1;1;0
2026/04/30;05:04:50;-0.1;1;1;1;0
2026/04/30;05:05:50;-0.1;1;1;1;0
2026/04/30;05:06:50;-0.1;1;1;1;0
2026/04/30;05:07:50;-0.1;1;1;1;0
2026/04/30;05:08:50;-0.1;1;1;1;0
2026/04/30;05:09:50;-0.1;1;1;1;0
2026/04/30;05:10:50;-0.1;1;1;1;0
2026/04/30;05:11:49;-0.1;1;1;1;0
2026/04/30;05:12:49;-0.1;1;1;1;0
2026/04/30;05:13:49;-0.1;1;1;1;0
2026/04/30;05:14:49;-0.1;1;1;1;0
2026/04/30;05:15:49;-0.1;1;1;1;0
2026/04/30;05:16:49;-0.1;1;1;1;0
2026/04/30;05:17:49;-0.1;1;1;1;0
2026/04/30;05:18:49;-0.1;1;1;1;0
2026/04/30;05:19:49;-0.1;1;1;1;0
2026/04/30;05:20:49;-0.1;1;1;1;0
