40;HS400;753468-00011610-1527
Date;Time;I_integral;Position;SOC_relevant;Number_of_turns;Reading_inverted
2026/05/01;00:00:35;-0.2;1;1;1;0
2026/05/01;00:01:35;-0.2;1;1;1;0
2026/05/01;00:02:35;-0.2;1;1;1;0
2026/05/01;00:03:35;-0.1;1;1;1;0
2026/05/01;00:04:35;-0.2;1;1;1;0
2026/05/01;00:05:35;-0.1;1;1;1;0
2026/05/01;00:06:35;-0.2;1;1;1;0
2026/05/01;00:07:35;-0.1;1;1;1;0
2026/05/01;00:08:35;-0.1;1;1;1;0
2026/05/01;00:09:34;-0.1;1;1;1;0
2026/05/01;00:10:34;-0.1;1;1;1;0
2026/05/01;00:11:34;-0.1;1;1;1;0
2026/05/01;00:12:34;-0.1;1;1;1;0
2026/05/01;00:13:34;-0.2;1;1;1;0
2026/05/01;00:14:34;-0.1;1;1;1;0
2026/05/01;00:15:34;-0.1;1;1;1;0
2026/05/01;00:16:34;-0.1;1;1;1;0
2026/05/01;00:17:34;-0.1;1;1;1;0
2026/05/01;00:18:34;-0.1;1;1;1;0
2026/05/01;00:19:34;-0.1;1;1;1;0
2026/05/01;00:20:34;-0.1;1;1;1;0
2026/05/01;00:21:34;-0.1;1;1;1;0
2026/05/01;00:22:34;-0.1;1;1;1;0
2026/05/01;00:23:34;-0.1;1;1;1;0
2026/05/01;00:24:34;-0.1;1;1;1;0
2026/05/01;00:25:33;-0.1;1;1;1;0
2026/05/01;00:26:33;-0.1;1;1;1;0
2026/05/01;00:27:33;-0.1;1;1;1;0
2026/05/01;00:28:33;-0.1;1;1;1;0
2026/05/01;00:29:33;-0.1;1;1;1;0
2026/05/01;00:30:33;-0.1;1;1;1;0
2026/05/01;00:31:33;-0.1;1;1;1;0
2026/05/01;00:32:33;-0.1;1;1;1;0
2026/05/01;00:33:33;-0.1;1;1;1;0
2026/05/01;00:34:33;-0.1;1;1;1;0
2026/05/01;00:35:33;-0.1;1;1;1;0
2026/05/01;00:36:33;-0.1;1;1;1;0
2026/05/01;00:37:33;-0.1;1;1;1;0
2026/05/01;00:38:33;-0.1;1;1;1;0
2026/05/01;00:39:33;-0.1;1;1;1;0
2026/05/01;00:40:33;-0.1;1;1;1;0
2026/05/01;00:41:32;-0.1;1;1;1;0
2026/05/01;00:42:32;-0.1;1;1;1;0
2026/05/01;00:43:32;-0.1;1;1;1;0
2026/05/01;00:44:32;-0.1;1;1;1;0
2026/05/01;00:45:32;-0.1;1;1;1;0
2026/05/01;00:46:32;-0.1;1;1;1;0
2026/05/01;00:47:32;-0.1;1;1;1;0
2026/05/01;00:48:32;-0.1;1;1;1;0
2026/05/01;00:49:32;-0.1;1;1;1;0
2026/05/01;00:50:32;-0.1;1;1;1;0
2026/05/01;00:51:32;-0.1;1;1;1;0
2026/05/01;00:52:32;-0.1;1;1;1;0
2026/05/01;00:53:32;-0.1;1;1;1;0
2026/05/01;00:54:32;-0.1;1;1;1;0
2026/05/01;00:55:32;-0.1;1;1;1;0
2026/05/01;00:56:32;-0.1;1;1;1;0
2026/05/01;00:57:31;-0.1;1;1;1;0
2026/05/01;00:58:31;-0.1;1;1;1;0
2026/05/01;00:59:31;-0.1;1;1;1;0
2026/05/01;01:00:31;-0.1;1;1;1;0
2026/05/01;01:01:31;-0.1;1;1;1;0
2026/05/01;01:02:31;-0.1;1;1;1;0
2026/05/01;01:03:31;-0.1;1;1;1;0
2026/05/01;01:04:31;-0.1;1;1;1;0
2026/05/01;01:05:31;-0.1;1;1;1;0
2026/05/01;01:06:31;-0.1;1;1;1;0
2026/05/01;01:07:31;-0.1;1;1;1;0
2026/05/01;01:08:31;-0.1;1;1;1;0
2026/05/01;01:09:31;-0.1;1;1;1;0
2026/05/01;01:10:31;-0.1;1;1;1;0
2026/05/01;01:11:31;-0.1;1;1;1;0
2026/05/01;01:12:31;-0.1;1;1;1;0
2026/05/01;01:13:30;-0.1;1;1;1;0
2026/05/01;01:14:30;-0.1;1;1;1;0
2026/05/01;01:15:30;-0.1;1;1;1;0
2026/05/01;01:16:30;-0.1;1;1;1;0
2026/05/01;01:17:30;-0.1;1;1;1;0
2026/05/01;01:18:30;-0.1;1;1;1;0
2026/05/01;01:19:30;-0.1;1;1;1;0
2026/05/01;01:20:30;-0.1;1;1;1;0
2026/05/01;01:21:30;-0.1;1;1;1;0
2026/05/01;01:22:30;-0.1;1;1;1;0
2026/05/01;01:23:30;-0.1;1;1;1;0
2026/05/01;01:24:30;-0.1;1;1;1;0
2026/05/01;01:25:30;-0.1;1;1;1;0
2026/05/01;01:26:30;-0.1;1;1;1;0
2026/05/01;01:27:30;-0.1;1;1;1;0
2026/05/01;01:28:30;-0.1;1;1;1;0
2026/05/01;01:29:29;-0.1;1;1;1;0
2026/05/01;01:30:29;-0.1;1;1;1;0
