Datetime	Eg_front 	Eg_rear	T1	T2	T3	T4	Tin
2026-08-24_14-35-30	1065,87	83,11	49,08	38,32	43,71	49,51	24,51
2026-08-24_14-36-30	593,87	53,01	48,69	35,61	42,57	48,61	24,50
2026-08-24_14-37-30	1057,44	83,13	49,88	40,47	45,61	50,25	24,53
2026-08-24_14-38-30	1053,01	83,35	49,69	35,40	45,32	49,28	24,58
2026-08-24_14-39-30	1061,65	84,77	50,06	40,90	45,49	50,07	24,57
2026-08-24_14-40-30	1058,25	85,10	49,57	34,92	43,99	50,35	24,58
2026-08-24_14-41-30	1069,98	85,92	50,79	39,55	44,50	50,88	24,60
2026-08-24_14-42-30	1050,29	84,49	50,43	36,43	44,89	49,87	24,63
2026-08-24_14-43-30	1067,74	85,30	51,55	38,67	45,37	49,99	24,58
2026-08-24_14-44-30	1080,75	85,92	52,18	38,61	48,03	50,54	24,61
2026-08-24_14-45-30	327,69	38,68	51,32	36,58	46,57	50,88	24,52
2026-08-24_14-46-30	359,39	41,15	49,11	40,76	45,13	49,09	24,58
2026-08-24_14-47-30	250,51	33,94	45,99	35,00	40,37	45,10	24,65
2026-08-24_14-48-30	244,44	32,91	43,37	33,11	38,30	42,76	24,68
2026-08-24_14-49-30	229,44	30,74	41,44	34,09	37,69	41,25	24,67
