Datetime	Eg_front 	Eg_rear	T1	T2	T3	T4	Tin
2026-09-01_12-27-19	198,60	30,40	30,78	23,08	26,48	30,06	24,72
2026-09-01_12-28-19	206,37	31,51	29,47	23,35	25,97	29,17	24,65
2026-09-01_12-29-19	209,20	32,14	28,65	22,97	26,21	28,30	24,66
2026-09-01_12-30-19	209,64	32,69	27,78	23,58	25,65	28,18	24,66
2026-09-01_12-31-19	210,88	33,10	27,13	22,86	24,98	27,55	24,65
2026-09-01_12-32-19	214,28	33,76	26,33	22,62	24,51	26,58	24,65
2026-09-01_12-33-19	219,50	34,47	25,55	21,89	23,98	24,86	24,64
2026-09-01_12-34-19	226,21	35,06	25,66	21,67	23,93	25,76	24,68
2026-09-01_12-35-19	234,30	35,61	25,72	22,82	23,98	25,63	24,65
2026-09-01_12-36-19	242,20	36,22	25,66	22,87	24,64	26,04	24,74
2026-09-01_12-37-19	248,42	36,59	25,63	22,35	23,85	25,96	24,66
2026-09-01_12-38-19	250,78	36,78	25,78	22,63	24,51	26,07	24,66
2026-09-01_12-39-19	248,22	36,57	25,92	22,57	24,26	26,18	24,60
2026-09-01_12-40-19	245,60	36,37	25,60	21,41	23,68	25,65	24,65
2026-09-01_12-41-19	248,06	36,53	25,79	22,30	24,41	25,90	24,68
2026-09-01_12-42-19	253,71	36,84	25,59	21,56	23,57	25,25	24,64
2026-09-01_12-43-19	257,09	36,91	25,53	21,99	23,79	25,70	24,80
2026-09-01_12-44-19	258,10	36,92	25,35	21,02	23,02	25,36	24,72
2026-09-01_12-45-19	251,55	36,18	25,41	21,50	23,31	25,50	24,59
2026-09-01_12-46-19	243,10	35,37	25,49	22,58	23,78	25,87	24,55
2026-09-01_12-47-19	241,69	35,26	25,56	22,89	23,90	25,53	24,56
2026-09-01_12-48-19	251,65	36,44	25,28	22,46	23,87	24,94	24,63
2026-09-01_12-49-19	266,92	38,12	25,30	21,73	22,91	25,10	24,69
2026-09-01_12-50-19	278,71	39,51	25,13	21,40	22,95	24,91	24,76
2026-09-01_12-51-19	285,48	40,35	25,08	21,75	23,30	25,17	24,67
2026-09-01_12-52-19	286,12	40,50	25,42	21,84	23,17	25,39	24,60
2026-09-01_12-53-19	284,32	40,49	25,62	22,68	23,99	25,74	24,55
2026-09-01_12-54-19	281,10	40,22	25,50	21,86	23,39	25,56	24,57
2026-09-01_12-55-19	278,99	40,09	25,45	22,38	23,76	25,16	24,54
