40;HS400;753468-00011610-1527
Date;Time;I_integral;Position;SOC_relevant;Number_of_turns;Reading_inverted
2026/04/16;00:00:04;-0.2;1;1;1;0
2026/04/16;00:01:04;-0.2;1;1;1;0
2026/04/16;00:02:04;-0.2;1;1;1;0
2026/04/16;00:03:04;-0.2;1;1;1;0
2026/04/16;00:04:04;-0.2;1;1;1;0
2026/04/16;00:05:04;-0.2;1;1;1;0
2026/04/16;00:06:04;-0.2;1;1;1;0
2026/04/16;00:07:04;-0.2;1;1;1;0
2026/04/16;00:08:03;-0.2;1;1;1;0
2026/04/16;00:09:03;-0.2;1;1;1;0
2026/04/16;00:10:03;-0.2;1;1;1;0
2026/04/16;00:11:03;-0.2;1;1;1;0
2026/04/16;00:12:03;-0.2;1;1;1;0
2026/04/16;00:13:03;-0.2;1;1;1;0
2026/04/16;00:14:03;-0.2;1;1;1;0
2026/04/16;00:15:03;-0.2;1;1;1;0
2026/04/16;00:16:03;-0.2;1;1;1;0
2026/04/16;00:17:03;-0.2;1;1;1;0
2026/04/16;00:18:03;-0.2;1;1;1;0
2026/04/16;00:19:03;-0.2;1;1;1;0
2026/04/16;00:20:03;-0.2;1;1;1;0
2026/04/16;00:21:03;-0.2;1;1;1;0
2026/04/16;00:22:03;-0.2;1;1;1;0
2026/04/16;00:23:03;-0.2;1;1;1;0
2026/04/16;00:24:02;-0.2;1;1;1;0
2026/04/16;00:25:02;-0.2;1;1;1;0
2026/04/16;00:26:02;-0.2;1;1;1;0
2026/04/16;00:27:02;-0.2;1;1;1;0
2026/04/16;00:28:02;-0.2;1;1;1;0
2026/04/16;00:29:02;-0.2;1;1;1;0
2026/04/16;00:30:02;-0.2;1;1;1;0
2026/04/16;00:31:02;-0.2;1;1;1;0
2026/04/16;00:32:02;-0.2;1;1;1;0
2026/04/16;00:33:02;-0.2;1;1;1;0
2026/04/16;00:34:02;-0.2;1;1;1;0
2026/04/16;00:35:02;-0.2;1;1;1;0
2026/04/16;00:36:02;-0.2;1;1;1;0
2026/04/16;00:37:02;-0.2;1;1;1;0
2026/04/16;00:38:02;-0.2;1;1;1;0
2026/04/16;00:39:02;-0.2;1;1;1;0
2026/04/16;00:40:01;-0.2;1;1;1;0
2026/04/16;00:41:01;-0.2;1;1;1;0
2026/04/16;00:42:01;-0.2;1;1;1;0
2026/04/16;00:43:01;-0.2;1;1;1;0
2026/04/16;00:44:01;-0.2;1;1;1;0
2026/04/16;00:45:01;-0.2;1;1;1;0
2026/04/16;00:46:01;-0.2;1;1;1;0
2026/04/16;00:47:01;-0.2;1;1;1;0
2026/04/16;00:48:01;-0.2;1;1;1;0
2026/04/16;00:49:01;-0.2;1;1;1;0
2026/04/16;00:50:01;-0.2;1;1;1;0
2026/04/16;00:51:01;-0.2;1;1;1;0
2026/04/16;00:52:01;-0.2;1;1;1;0
2026/04/16;00:53:01;-0.2;1;1;1;0
2026/04/16;00:54:01;-0.2;1;1;1;0
2026/04/16;00:55:00;-0.2;1;1;1;0
2026/04/16;00:56:00;-0.2;1;1;1;0
2026/04/16;00:57:00;-0.2;1;1;1;0
2026/04/16;00:58:00;-0.2;1;1;1;0
2026/04/16;00:59:00;-0.2;1;1;1;0
2026/04/16;01:00:00;-0.2;1;1;1;0
2026/04/16;01:01:00;-0.2;1;1;1;0
2026/04/16;01:02:00;-0.2;1;1;1;0
2026/04/16;01:03:00;-0.2;1;1;1;0
2026/04/16;01:04:00;-0.2;1;1;1;0
2026/04/16;01:05:00;-0.2;1;1;1;0
2026/04/16;01:06:00;-0.2;1;1;1;0
2026/04/16;01:07:00;-0.2;1;1;1;0
2026/04/16;01:08:00;-0.2;1;1;1;0
2026/04/16;01:09:00;-0.2;1;1;1;0
2026/04/16;01:10:00;-0.2;1;1;1;0
2026/04/16;01:10:59;-0.2;1;1;1;0
2026/04/16;01:11:59;-0.2;1;1;1;0
2026/04/16;01:12:59;-0.2;1;1;1;0
2026/04/16;01:13:59;-0.2;1;1;1;0
2026/04/16;01:14:59;-0.2;1;1;1;0
2026/04/16;01:15:59;-0.2;1;1;1;0
2026/04/16;01:16:59;-0.2;1;1;1;0
2026/04/16;01:17:59;-0.2;1;1;1;0
2026/04/16;01:18:59;-0.2;1;1;1;0
2026/04/16;01:19:59;-0.2;1;1;1;0
2026/04/16;01:20:59;-0.2;1;1;1;0
2026/04/16;01:21:59;-0.2;1;1;1;0
2026/04/16;01:22:59;-0.2;1;1;1;0
2026/04/16;01:23:59;-0.2;1;1;1;0
2026/04/16;01:24:59;-0.2;1;1;1;0
2026/04/16;01:25:59;-0.2;1;1;1;0
2026/04/16;01:26:58;-0.2;1;1;1;0
2026/04/16;01:27:58;-0.2;1;1;1;0
2026/04/16;01:28:58;-0.2;1;1;1;0
2026/04/16;01:29:58;-0.2;1;1;1;0
2026/04/16;01:30:58;-0.2;1;1;1;0
2026/04/16;01:31:58;-0.2;1;1;1;0
2026/04/16;01:32:58;-0.2;1;1;1;0
2026/04/16;01:33:58;-0.2;1;1;1;0
2026/04/16;01:34:58;-0.2;1;1;1;0
2026/04/16;01:35:58;-0.2;1;1;1;0
2026/04/16;01:36:58;-0.2;1;1;1;0
2026/04/16;01:37:58;-0.2;1;1;1;0
2026/04/16;01:38:58;-0.2;1;1;1;0
2026/04/16;01:39:58;-0.2;1;1;1;0
2026/04/16;01:40:58;-0.2;1;1;1;0
2026/04/16;01:41:58;-0.2;1;1;1;0
2026/04/16;01:42:57;-0.2;1;1;1;0
2026/04/16;01:43:57;-0.2;1;1;1;0
2026/04/16;01:44:57;-0.2;1;1;1;0
2026/04/16;01:45:57;-0.2;1;1;1;0
2026/04/16;01:46:57;-0.2;1;1;1;0
2026/04/16;01:47:57;-0.2;1;1;1;0
2026/04/16;01:48:57;-0.2;1;1;1;0
2026/04/16;01:49:57;-0.2;1;1;1;0
2026/04/16;01:50:57;-0.2;1;1;1;0
2026/04/16;01:51:57;-0.2;1;1;1;0
2026/04/16;01:52:57;-0.2;1;1;1;0
2026/04/16;01:53:57;-0.2;1;1;1;0
2026/04/16;01:54:57;-0.2;1;1;1;0
2026/04/16;01:55:57;-0.2;1;1;1;0
2026/04/16;01:56:57;-0.2;1;1;1;0
2026/04/16;01:57:57;-0.2;1;1;1;0
2026/04/16;01:58:56;-0.2;1;1;1;0
2026/04/16;01:59:56;-0.2;1;1;1;0
2026/04/16;02:00:56;-0.2;1;1;1;0
2026/04/16;02:01:56;-0.2;1;1;1;0
2026/04/16;02:02:56;-0.2;1;1;1;0
2026/04/16;02:03:56;-0.2;1;1;1;0
2026/04/16;02:04:56;-0.2;1;1;1;0
2026/04/16;02:05:56;-0.2;1;1;1;0
2026/04/16;02:06:56;-0.2;1;1;1;0
2026/04/16;02:07:56;-0.2;1;1;1;0
2026/04/16;02:08:56;-0.2;1;1;1;0
2026/04/16;02:09:56;-0.2;1;1;1;0
2026/04/16;02:10:56;-0.2;1;1;1;0
2026/04/16;02:11:56;-0.2;1;1;1;0
