ts	total_power_w
2026-08-27 10:55:01	314.2
2026-08-27 10:56:05	697.6
2026-08-27 10:57:13	1339.9
2026-08-27 10:58:17	1343
2026-08-27 10:59:23	1343.3
2026-08-27 11:00:27	1681.4
2026-08-27 11:01:25	1702.6
2026-08-27 11:01:31	1702.6
2026-08-27 11:02:35	1702.3
2026-08-27 11:03:39	1704.9
2026-08-27 11:04:43	1701.5
2026-08-27 11:05:47	1698.1
2026-08-27 11:06:50	1695.6
