ts	total_power_w
2026-08-27 13:23:37	0
2026-08-27 13:24:43	0
2026-08-27 13:25:47	0
2026-08-27 13:26:53	0
2026-08-27 13:27:57	0
2026-08-27 13:28:59	0
2026-08-27 13:30:07	470.7
2026-08-27 13:31:11	472.6
2026-08-27 15:09:31	0
2026-08-27 15:10:36	0
2026-08-27 15:11:39	0
2026-08-27 15:12:45	0
2026-08-27 15:13:49	0
2026-08-27 15:14:55	0
2026-08-27 15:15:07	0
2026-08-27 15:16:13	469.6
2026-08-27 15:17:21	472.7
2026-08-27 15:18:25	470.8
2026-08-27 15:19:29	468.7
2026-08-27 15:20:37	467.1
2026-08-27 15:21:41	465.8
2026-08-27 15:22:47	465.6
2026-08-27 15:23:51	465.2
