ts	total_power_w
2026-08-31 09:44:39	0
2026-08-31 09:45:43	195
2026-08-31 09:46:49	193.7
2026-08-31 09:47:53	192.7
2026-08-31 09:48:59	192.1
2026-08-31 09:50:03	191.8
2026-08-31 09:51:09	191.2
2026-08-31 09:52:13	190.9
2026-08-31 09:53:19	190.9
2026-08-31 09:54:23	190.7
2026-08-31 09:55:29	190.5
2026-08-31 09:56:33	190.5
2026-08-31 09:57:39	190.8
2026-08-31 09:58:43	191
2026-08-31 09:59:49	191
2026-08-31 10:00:53	191.3
2026-08-31 10:01:57	191.6
2026-08-31 10:03:03	191.6
2026-08-31 10:04:09	191.7
2026-08-31 10:05:17	192.2
2026-08-31 10:06:21	192.4
2026-08-31 10:07:25	192.5
2026-08-31 10:08:31	192.9
2026-08-31 10:12:22	195
2026-08-31 10:13:26	665.1
2026-08-31 10:14:34	192.2
2026-08-31 10:15:38	191.8
2026-08-31 10:16:44	191.9
2026-08-31 10:17:48	191.6
2026-08-31 10:18:56	191.6
2026-08-31 10:20:00	192.3
2026-08-31 10:21:04	192.5
2026-08-31 10:22:10	192.2
2026-08-31 10:23:18	192.2
2026-08-31 10:24:22	192.1
2026-08-31 10:25:28	192.1
2026-08-31 10:26:32	192
2026-08-31 10:27:36	192
2026-08-31 10:28:42	192
2026-08-31 10:29:46	192
2026-08-31 10:30:54	192
2026-08-31 10:31:58	192
2026-08-31 10:33:06	192
2026-08-31 10:34:10	192
2026-08-31 10:35:16	192
2026-08-31 10:36:20	192
2026-08-31 10:37:24	192
2026-08-31 10:38:30	192
2026-08-31 10:39:34	192
2026-08-31 10:40:42	190.5
2026-08-31 10:41:46	190.4
2026-08-31 10:42:55	190.6
2026-08-31 10:43:59	190.4
2026-08-31 10:45:07	190.7
2026-08-31 10:46:11	190.9
2026-08-31 10:47:17	191.4
2026-08-31 10:48:21	192.2
2026-08-31 10:49:27	192.4
2026-08-31 10:50:31	192.5
2026-08-31 10:51:37	192.6
2026-08-31 10:52:41	192.7
2026-08-31 10:53:47	192.6
2026-08-31 10:54:51	192.6
2026-08-31 10:55:57	192.4
2026-08-31 10:57:03	192.5
2026-08-31 10:58:07	192.2
2026-08-31 10:59:13	192.2
2026-08-31 11:00:17	192.3
2026-08-31 11:01:25	192.4
2026-08-31 11:02:29	192.2
2026-08-31 11:03:37	192.1
2026-08-31 11:04:41	192
2026-08-31 11:05:49	191.9
2026-08-31 11:06:53	191.9
2026-08-31 11:07:59	191.9
2026-08-31 11:09:03	191.4
2026-08-31 11:10:07	191.5
2026-08-31 11:11:13	191.3
2026-08-31 11:12:17	191.2
2026-08-31 11:13:25	190.9
2026-08-31 11:14:29	190.7
2026-08-31 11:15:35	190.8
2026-08-31 11:16:39	190.7
2026-08-31 11:17:45	190.5
2026-08-31 11:18:49	190.5
2026-08-31 11:19:53	190.6
2026-08-31 11:21:01	190.8
2026-08-31 11:22:05	190.8
2026-08-31 11:23:11	190.7
2026-08-31 11:24:15	190.6
2026-08-31 11:25:21	190.5
2026-08-31 11:26:25	190.7
2026-08-31 11:27:29	190.6
2026-08-31 11:28:35	190.7
2026-08-31 11:29:41	190.7
2026-08-31 11:30:45	190.6
2026-08-31 11:31:49	190.7
2026-08-31 11:32:57	190.6
2026-08-31 11:34:01	190.7
2026-08-31 11:35:09	191
2026-08-31 11:36:13	190.9
2026-08-31 11:37:21	191.1
2026-08-31 11:38:25	191.6
2026-08-31 11:39:31	191.9
2026-08-31 11:40:35	192
2026-08-31 11:41:41	192.3
2026-08-31 11:42:45	192.4
2026-08-31 11:43:51	192.2
2026-08-31 11:44:57	192.1
2026-08-31 11:46:01	192.1
2026-08-31 11:47:05	191.9
2026-08-31 11:48:14	191.9
2026-08-31 11:49:17	192.1
2026-08-31 11:50:26	191.8
2026-08-31 11:51:30	191.6
2026-08-31 11:52:38	191.7
2026-08-31 11:53:42	191.5
2026-08-31 11:54:48	191.3
2026-08-31 11:55:52	191.3
2026-08-31 11:56:56	191.4
2026-08-31 11:58:04	191.5
2026-08-31 11:59:08	191.1
2026-08-31 12:00:14	191.2
2026-08-31 12:01:18	191.4
2026-08-31 12:02:22	191.8
2026-08-31 12:03:30	192.4
2026-08-31 12:04:34	192.5
2026-08-31 12:05:40	192.5
2026-08-31 12:06:44	192.4
2026-08-31 12:07:50	192.4
2026-08-31 12:08:58	192.2
2026-08-31 12:10:02	192
2026-08-31 12:11:10	191.9
2026-08-31 12:12:14	192.1
2026-08-31 12:13:18	191.8
2026-08-31 12:14:26	191.9
2026-08-31 12:15:30	191.8
2026-08-31 12:16:36	192
2026-08-31 12:17:40	191.9
2026-08-31 12:18:49	192
2026-08-31 12:19:52	192
2026-08-31 12:20:59	192.1
2026-08-31 12:22:02	192
2026-08-31 12:23:06	191.9
2026-08-31 12:24:15	191.9
2026-08-31 12:25:18	191.8
2026-08-31 12:26:27	191.4
2026-08-31 12:27:31	191.6
