ts_local	level	event	strip_name	device_id	channel	message
2026-07-09 13:00:08	INFO	strip_plan	ps2	98a3167b6a8c		slot=2026-07-09 13:00; target_strip_w=0; states=[0,0,0,0]
2026-07-09 13:00:08	INFO	strip_plan	ps3	98a3166b6128		slot=2026-07-09 13:00; target_strip_w=0; states=[0,0,0,0]
2026-07-09 13:00:08	INFO	load_change				LOAD CHANGE slot=2026-07-09 13:00 target=350W nominal=350W overshoot=0W states: ps1=[1,1,0,0]; ps2=[0,0,0,0]; ps3=[0,0,0,0]
2026-07-09 13:00:08	INFO	reconcile	ps1	206ef102c9d8	0	actual=off; desired=on
2026-07-09 13:00:10	INFO	send	ps1	206ef102c9d8	0	turn=on
2026-07-09 13:00:10	INFO	reconcile	ps1	206ef102c9d8	2	actual=on; desired=off
2026-07-09 13:00:13	INFO	send	ps1	206ef102c9d8	2	turn=off
2026-07-09 13:00:13	INFO	reconcile	ps1	206ef102c9d8	3	actual=on; desired=off
2026-07-09 13:00:15	INFO	send	ps1	206ef102c9d8	3	turn=off
2026-07-09 13:01:08	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 13:02:12	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 13:02:14	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 4 s
2026-07-09 13:03:20	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 13:04:24	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 13:04:29	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 13:05:30	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 13:05:35	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 13:06:36	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 13:06:38	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 4 s
2026-07-09 13:07:41	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 13:08:45	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 13:09:50	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 13:09:52	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 4 s
2026-07-09 13:10:58	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 13:12:02	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 13:12:07	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 13:13:08	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 13:13:13	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 13:14:14	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 13:14:16	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 4 s
2026-07-09 13:15:04	INFO	strip_plan	ps1	206ef102c9d8		slot=2026-07-09 13:15; target_strip_w=350; states=[1,1,0,0]
2026-07-09 13:15:04	INFO	strip_plan	ps2	98a3167b6a8c		slot=2026-07-09 13:15; target_strip_w=0; states=[0,0,0,0]
2026-07-09 13:15:04	INFO	strip_plan	ps3	98a3166b6128		slot=2026-07-09 13:15; target_strip_w=0; states=[0,0,0,0]
2026-07-09 13:15:04	INFO	load_change				LOAD CHANGE slot=2026-07-09 13:15 target=350W nominal=350W overshoot=0W states: ps1=[1,1,0,0]; ps2=[0,0,0,0]; ps3=[0,0,0,0]
2026-07-09 13:15:19	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 13:16:23	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 13:17:27	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 13:18:31	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 13:18:34	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 4 s
2026-07-09 13:19:40	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 13:20:44	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 13:20:49	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 13:21:50	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 13:21:55	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 13:22:56	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 13:22:58	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 4 s
2026-07-09 13:24:01	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 13:25:05	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 13:26:09	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 13:27:13	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 13:27:16	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 4 s
2026-07-09 13:28:22	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 13:29:26	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 13:29:31	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 13:30:07	INFO	strip_plan	ps1	206ef102c9d8		slot=2026-07-09 13:30; target_strip_w=200; states=[1,0,0,0]
2026-07-09 13:30:07	INFO	strip_plan	ps2	98a3167b6a8c		slot=2026-07-09 13:30; target_strip_w=0; states=[0,0,0,0]
2026-07-09 13:30:07	INFO	strip_plan	ps3	98a3166b6128		slot=2026-07-09 13:30; target_strip_w=0; states=[0,0,0,0]
2026-07-09 13:30:07	INFO	load_change				LOAD CHANGE slot=2026-07-09 13:30 target=230W nominal=200W overshoot=0W states: ps1=[1,0,0,0]; ps2=[0,0,0,0]; ps3=[0,0,0,0]
2026-07-09 13:30:07	INFO	reconcile	ps1	206ef102c9d8	1	actual=on; desired=off
2026-07-09 13:30:09	INFO	send	ps1	206ef102c9d8	1	turn=off
2026-07-09 13:30:34	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 13:30:36	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 4 s
