Steca Elektronik GmbH;MPPT6000;760749IH008963540005
Date;Time;SOC[%];Kaptest[Ah];Vbat[V];Ibat_M[A];Vbat.sense[V];VPV1_M[V];VPV2_M[V];PVpower_M[W];PV1power_M[W];PV2power_M[W];Ophours[h];Ibat_total[A]SOC;Icharge_total[A];Iload_total[A];BatPower_total[W];BatTemp[°C];ChargeMode;ErrorState;ErrorNr;StateAux1;StateAux2;StateAux3;IntTemp1[°C];IntTemp2[°C];Derating;Ah_in_24h_M[Ah];Ah_in_total_M[Ah];Ah_in_24h_SYS[Ah];Ah_in_total_SYS[Ah];Ah_out_24h_SYS[Ah];Ah_out_total_SYS[Ah];Day_night;Status_AUXIO
2026/04/10;00:00:28;98;-; 52.55; 0.0;-; 7.0; 9.9; 0.0;-;-;1640;-0.1; 0.0; 0.0;-7; 22.0;F;1;29;On;On;Off; 22.6; 22.3;0;0;868;0;868;0;682;0;-
2026/04/10;00:01:28;98;-; 52.55; 0.0;-; 7.1; 9.8; 0.0;-;-;1640;-0.1; 0.0; 0.0;-7; 22.0;F;1;29;On;On;Off; 22.6; 22.3;0;0;868;0;868;0;682;0;-
2026/04/10;00:02:28;98;-; 52.55; 0.0;-; 7.1; 9.7; 0.0;-;-;1640;-0.1; 0.0; 0.0;-7; 22.0;F;1;29;On;On;Off; 22.6; 22.3;0;0;868;0;868;0;682;0;-
2026/04/10;00:03:28;98;-; 52.55; 0.0;-; 7.0; 9.9; 0.0;-;-;1640;-0.2; 0.0; 0.0;-8; 22.0;F;1;29;On;On;Off; 22.6; 22.3;0;0;868;0;868;0;682;0;-
2026/04/10;00:04:28;98;-; 52.55; 0.0;-; 7.1; 9.9; 0.0;-;-;1640;-0.2; 0.0; 0.0;-7; 22.0;F;1;29;On;On;Off; 22.6; 22.3;0;0;868;0;868;0;682;0;-
2026/04/10;00:05:28;98;-; 52.55; 0.0;-; 7.0; 9.8; 0.0;-;-;1640;-0.1; 0.0; 0.0;-7; 22.0;F;1;29;On;On;Off; 22.6; 22.3;0;0;868;0;868;0;682;0;-
2026/04/10;00:06:28;98;-; 52.55; 0.0;-; 6.9; 9.8; 0.0;-;-;1640;-0.1; 0.0; 0.0;-7; 22.0;F;1;29;On;On;Off; 22.6; 22.3;0;0;868;0;868;0;682;0;-
2026/04/10;00:07:28;98;-; 52.53; 0.0;-; 7.0; 9.7; 0.0;-;-;1640;-0.2; 0.0; 0.0;-8; 22.0;F;1;29;On;On;Off; 22.6; 22.3;0;0;868;0;868;0;682;0;-
2026/04/10;00:08:28;98;-; 52.55; 0.0;-; 7.0; 9.8; 0.0;-;-;1640;-0.1; 0.0; 0.0;-7; 22.0;F;1;29;On;On;Off; 22.6; 22.3;0;0;868;0;868;0;682;0;-
2026/04/10;00:09:28;98;-; 52.55; 0.0;-; 6.9; 9.9; 0.0;-;-;1640;-0.2; 0.0; 0.0;-7; 22.0;F;1;29;On;On;Off; 22.6; 22.3;0;0;868;0;868;0;682;0;-
