40;HS400;753468-00011610-1527
Date;Time;I_integral;Position;SOC_relevant;Number_of_turns;Reading_inverted
2026/03/24;00:00:03;-0.1;1;1;1;0
2026/03/24;00:01:03;-0.1;1;1;1;0
2026/03/24;00:02:03;-0.1;1;1;1;0
2026/03/24;00:03:03;-0.1;1;1;1;0
2026/03/24;00:04:03;-0.1;1;1;1;0
2026/03/24;00:05:03;-0.1;1;1;1;0
2026/03/24;00:06:03;-0.1;1;1;1;0
2026/03/24;00:07:02;-0.1;1;1;1;0
2026/03/24;00:08:02;-0.1;1;1;1;0
2026/03/24;00:09:02;-0.1;1;1;1;0
2026/03/24;00:10:02;-0.1;1;1;1;0
2026/03/24;00:11:02;-0.1;1;1;1;0
2026/03/24;00:12:02;-0.1;1;1;1;0
2026/03/24;00:13:02;-0.1;1;1;1;0
2026/03/24;00:14:02;-0.1;1;1;1;0
2026/03/24;00:15:02;-0.1;1;1;1;0
2026/03/24;00:16:02;-0.1;1;1;1;0
2026/03/24;00:17:02;-0.1;1;1;1;0
2026/03/24;00:18:02;-0.1;1;1;1;0
2026/03/24;00:19:02;-0.1;1;1;1;0
2026/03/24;00:20:02;-0.1;1;1;1;0
2026/03/24;00:21:02;-0.1;1;1;1;0
2026/03/24;00:22:02;-0.1;1;1;1;0
2026/03/24;00:23:01;-0.1;1;1;1;0
2026/03/24;00:24:01;-0.1;1;1;1;0
2026/03/24;00:25:01;-0.1;1;1;1;0
2026/03/24;00:26:01;-0.1;1;1;1;0
2026/03/24;00:27:01;-0.1;1;1;1;0
2026/03/24;00:28:01;-0.1;1;1;1;0
2026/03/24;00:29:01;-0.1;1;1;1;0
2026/03/24;00:30:01;-0.1;1;1;1;0
2026/03/24;00:31:01;-0.1;1;1;1;0
2026/03/24;00:32:01;-0.1;1;1;1;0
2026/03/24;00:33:01;-0.1;1;1;1;0
2026/03/24;00:34:01;-0.1;1;1;1;0
2026/03/24;00:35:01;-0.1;1;1;1;0
2026/03/24;00:36:01;-0.1;1;1;1;0
2026/03/24;00:37:01;-0.1;1;1;1;0
2026/03/24;00:38:01;-0.1;1;1;1;0
2026/03/24;00:39:00;-0.1;1;1;1;0
2026/03/24;00:40:00;-0.1;1;1;1;0
2026/03/24;00:41:00;-0.1;1;1;1;0
2026/03/24;00:42:00;-0.1;1;1;1;0
2026/03/24;00:43:00;-0.1;1;1;1;0
2026/03/24;00:44:00;-0.1;1;1;1;0
2026/03/24;00:45:00;-0.1;1;1;1;0
2026/03/24;00:46:00;-0.1;1;1;1;0
2026/03/24;00:47:00;-0.1;1;1;1;0
2026/03/24;00:48:00;-0.1;1;1;1;0
2026/03/24;00:49:00;-0.1;1;1;1;0
2026/03/24;00:50:00;-0.1;1;1;1;0
2026/03/24;00:51:00;-0.1;1;1;1;0
2026/03/24;00:52:00;-0.1;1;1;1;0
2026/03/24;00:53:00;-0.1;1;1;1;0
2026/03/24;00:54:00;-0.1;1;1;1;0
2026/03/24;00:54:59;-0.1;1;1;1;0
2026/03/24;00:55:59;-0.1;1;1;1;0
2026/03/24;00:56:59;-0.1;1;1;1;0
2026/03/24;00:57:59;-0.1;1;1;1;0
2026/03/24;00:58:59;-0.1;1;1;1;0
2026/03/24;00:59:59;-0.1;1;1;1;0
2026/03/24;01:00:59;-0.1;1;1;1;0
2026/03/24;01:01:59;-0.1;1;1;1;0
2026/03/24;01:02:59;-0.1;1;1;1;0
2026/03/24;01:03:59;-0.1;1;1;1;0
2026/03/24;01:04:59;-0.1;1;1;1;0
2026/03/24;01:05:59;-0.1;1;1;1;0
2026/03/24;01:06:59;-0.1;1;1;1;0
2026/03/24;01:07:59;-0.1;1;1;1;0
2026/03/24;01:08:59;-0.1;1;1;1;0
2026/03/24;01:09:59;-0.1;1;1;1;0
2026/03/24;01:10:58;-0.1;1;1;1;0
2026/03/24;01:11:58;-0.1;1;1;1;0
2026/03/24;01:12:58;-0.1;1;1;1;0
2026/03/24;01:13:58;-0.1;1;1;1;0
2026/03/24;01:14:58;-0.1;1;1;1;0
2026/03/24;01:15:58;-0.1;1;1;1;0
2026/03/24;01:16:58;-0.1;1;1;1;0
2026/03/24;01:17:58;-0.1;1;1;1;0
2026/03/24;01:18:58;-0.1;1;1;1;0
2026/03/24;01:19:58;-0.1;1;1;1;0
2026/03/24;01:20:58;-0.1;1;1;1;0
2026/03/24;01:21:58;-0.1;1;1;1;0
2026/03/24;01:22:58;-0.1;1;1;1;0
2026/03/24;01:23:58;-0.1;1;1;1;0
2026/03/24;01:24:58;-0.1;1;1;1;0
2026/03/24;01:25:57;-0.1;1;1;1;0
2026/03/24;01:26:57;-0.1;1;1;1;0
2026/03/24;01:27:57;-0.1;1;1;1;0
2026/03/24;01:28:57;-0.1;1;1;1;0
2026/03/24;01:29:57;-0.1;1;1;1;0
2026/03/24;01:30:57;-0.1;1;1;1;0
2026/03/24;01:31:57;-0.1;1;1;1;0
2026/03/24;01:32:57;-0.1;1;1;1;0
2026/03/24;01:33:57;-0.1;1;1;1;0
2026/03/24;01:34:57;-0.1;1;1;1;0
2026/03/24;01:35:57;-0.1;1;1;1;0
2026/03/24;01:36:57;-0.1;1;1;1;0
2026/03/24;01:37:57;-0.1;1;1;1;0
2026/03/24;01:38:57;-0.1;1;1;1;0
2026/03/24;01:39:57;-0.1;1;1;1;0
2026/03/24;01:40:57;-0.1;1;1;1;0
2026/03/24;01:41:56;-0.1;1;1;1;0
2026/03/24;01:42:56;-0.1;1;1;1;0
