device_status	date	time	battery_voltage_V	pv1_voltage_V	pv2_voltage_V	SOC	capacity_Ah	total_charge_discharge_battery_A	pv1_current_A	pv2_current_A	module_current_A	total_batt_current_A	load_current_A	total_batt_discharge_current_A	temperature_C	error	charging_mode	AUX1	AUX2	AUX3	energy_input_24h_Ah	energy_input_tot_Ah	energy_output_24h_Ah	energy_output_tot_Ah	derating_Ah	checksum	pv1_power_W	pv2_power_W	pv_power_total_W
1	2026/08/27	15:43	53.2	69.6	69.2	#	#	36.9	8.4	8.0	#	17.9	#	17.9	24.7	0	B	1	1	0	95	4052	95	3866	0	9985	584.64	553.6	1138.24
1	2026/08/27	15:44	51.0	66.6	66.3	#	#	30.8	8.8	8.6	#	15.0	#	15.0	24.7	0	B	1	1	0	95	4052	95	3866	0	021F	586.08	570.18	1156.26
1	2026/08/27	15:45	51.0	66.7	66.5	#	#	35.8	10.7	10.5	#	17.5	#	17.5	24.7	0	B	1	1	0	95	4052	95	3866	0	F6F5	713.69	698.25	1411.94
1	2026/08/27	15:46	51.4	67.1	66.8	#	#	42.2	14.2	13.8	#	21.0	#	21.0	24.7	0	B	1	1	0	96	4053	96	3867	0	E7D6	952.82	921.84	1874.66
1	2026/08/27	15:47	51.0	66.7	66.2	#	#	47.5	10.3	10.1	#	23.3	#	23.3	24.7	0	B	1	1	0	96	4053	96	3867	0	9301	687.01	668.62	1355.63
1	2026/08/27	15:48	51.5	67.0	66.9	#	#	50.1	15.0	14.6	#	24.2	#	24.2	24.7	0	B	1	1	0	97	4054	97	3868	0	3ABB	1005	976.74	1981.74
1	2026/08/27	15:49	51.0	66.5	70.1	#	#	47.1	13.1	8.6	#	23.3	#	23.3	24.7	0	B	1	1	0	97	4054	97	3868	0	98A7	871.15	602.86	1474.01
1	2026/08/27	15:50	50.8	66.3	66.6	#	#	49.8	8.8	8.5	#	24.0	#	24.0	24.7	0	B	1	1	0	97	4054	97	3868	0	BF45	583.44	566.1	1149.54
1	2026/08/27	15:51	51.1	66.8	66.5	#	#	45.5	7.3	7.2	#	22.2	#	22.2	24.7	0	B	1	1	0	98	4055	98	3869	0	AA47	487.64	478.8	966.44
