device_status	date	time	battery_voltage_V	pv1_voltage_V	pv2_voltage_V	SOC	capacity_Ah	total_charge_discharge_battery_A	pv1_current_A	pv2_current_A	module_current_A	total_batt_current_A	load_current_A	total_batt_discharge_current_A	temperature_C	error	charging_mode	AUX1	AUX2	AUX3	energy_input_24h_Ah	energy_input_tot_Ah	energy_output_24h_Ah	energy_output_tot_Ah	derating_Ah	checksum	pv1_power_W	pv2_power_W	pv_power_total_W
1	2026/08/27	13:27	53.7	70.2	69.9	#	#	21.4	7.8	7.3	#	10.5	#	10.5	24.0	0	B	1	1	0	70	4027	70	3841	0	19EC	547.56	510.27	1057.83
1	2026/08/27	13:28	53.6	70.0	69.8	#	#	26.6	8.0	7.4	#	13.1	#	13.1	24.0	0	B	1	1	0	70	4027	70	3841	0	0902	560	516.52	1076.52
1	2026/08/27	15:07	55.7	72.7	72.7	#	#	19.6	5.8	5.1	#	9.7	#	9.7	24.3	0	B	1	1	0	86	4043	86	3857	0	D394	421.66	370.77	792.43
1	2026/08/27	15:08	54.7	73.5	71.9	#	#	17.8	2.3	3.2	#	8.7	#	8.7	24.3	0	B	1	1	0	86	4043	86	3857	0	5095	169.05	230.08	399.13
1	2026/08/27	15:09	55.3	72.4	73.4	#	#	14.2	5.0	3.0	#	6.7	#	6.7	24.3	0	B	1	1	0	86	4043	86	3857	0	30D6	362	220.2	582.2
1	2026/08/27	15:10	55.3	72.5	72.2	#	#	17.5	3.4	2.8	#	8.5	#	8.5	24.4	0	B	1	1	0	86	4043	86	3857	0	759C	246.5	202.16	448.66
1	2026/08/27	15:11	55.4	72.4	72.1	#	#	18.2	4.1	3.4	#	8.9	#	8.9	24.4	0	B	1	1	0	86	4043	86	3857	0	5FF7	296.84	245.14	541.98
1	2026/08/27	15:12	55.4	72.2	72.3	#	#	14.2	3.7	2.9	#	7.0	#	7.0	24.4	0	B	1	1	0	86	4043	86	3857	0	4C35	267.14	209.67	476.81
1	2026/08/27	15:13	55.3	72.2	72.0	#	#	16.4	5.4	4.8	#	8.0	#	8.0	24.4	0	B	1	1	0	86	4043	86	3857	0	126B	389.88	345.6	735.48
1	2026/08/27	15:14	54.5	71.0	70.9	#	#	16.8	7.2	6.4	#	8.3	#	8.3	24.4	0	B	1	1	0	86	4043	86	3857	0	77CE	511.2	453.76	964.96
1	2026/08/27	15:15	54.1	70.6	70.5	#	#	23.3	6.2	5.8	#	11.5	#	11.5	24.4	0	B	1	1	0	87	4044	87	3858	0	527B	437.72	408.9	846.62
1	2026/08/27	15:16	54.3	70.9	70.6	#	#	26.3	7.0	6.6	#	12.8	#	12.8	24.4	0	B	1	1	0	87	4044	87	3858	0	0727	496.3	465.96	962.26
1	2026/08/27	15:17	54.3	71.3	70.7	#	#	26.9	7.1	7.8	#	13.3	#	13.3	24.4	0	B	1	1	0	87	4044	87	3858	0	139C	506.23	551.46	1057.69
1	2026/08/27	15:18	54.5	71.1	70.9	#	#	26.6	8.0	7.3	#	13.0	#	13.0	24.5	0	B	1	1	0	87	4044	87	3858	0	45AD	568.8	517.57	1086.37
1	2026/08/27	15:19	54.0	72.7	72.4	#	#	28.1	4.7	4.2	#	13.7	#	13.7	24.5	0	B	1	1	0	88	4045	88	3859	0	3AAB	341.69	304.08	645.77
1	2026/08/27	15:20	54.1	70.6	70.3	#	#	27.3	6.5	6.0	#	13.2	#	13.2	24.5	0	B	1	1	0	88	4045	88	3859	0	A340	458.9	421.8	880.7
1	2026/08/27	15:21	53.9	70.7	71.7	#	#	25.9	5.4	3.6	#	12.6	#	12.6	24.5	0	B	1	1	0	88	4045	88	3859	0	F7CF	381.78	258.12	639.9
