device_status	date	time	battery_voltage_V	pv1_voltage_V	pv2_voltage_V	SOC	capacity_Ah	total_charge_discharge_battery_A	pv1_current_A	pv2_current_A	module_current_A	total_batt_current_A	load_current_A	total_batt_discharge_current_A	temperature_C	error	charging_mode	AUX1	AUX2	AUX3	energy_input_24h_Ah	energy_input_tot_Ah	energy_output_24h_Ah	energy_output_tot_Ah	derating_Ah	checksum	pv1_power_W	pv2_power_W	pv_power_total_W
1	2026/09/02	15:56	50.8	66.5	66.4	#	#	58.7	12.6	12.2	#	28.7	#	28.7	24.2	0	B	1	1	0	157	4443	157	4257	0	CBD7	837.9	810.08	1647.98
1	2026/09/02	15:57	48.3	63.2	62.8	#	#	55.7	14.8	14.7	#	26.9	#	26.9	24.2	0	B	1	1	0	158	4444	158	4258	0	B7F9	935.36	923.16	1858.52
1	2026/09/02	15:58	48.1	62.8	62.4	#	#	56.8	15.1	14.9	#	28.0	#	28.0	24.2	0	B	1	1	0	158	4444	158	4258	0	F90F	948.28	929.76	1878.04
1	2026/09/02	15:59	50.1	65.3	66.8	#	#	60.8	13.9	12.1	#	29.7	#	29.7	24.2	0	B	1	1	0	159	4445	159	4259	0	E9C4	907.67	808.28	1715.95
1	2026/09/02	16:00	48.3	63.1	62.8	#	#	55.2	15.5	14.9	#	26.6	#	26.6	24.3	0	B	1	1	0	159	4445	159	4259	0	2F22	978.05	935.72	1913.77
1	2026/09/02	16:01	48.1	62.8	62.6	#	#	59.7	15.8	15.1	#	29.3	#	29.3	24.3	0	B	1	1	0	160	4446	160	4260	0	8AD6	992.24	945.26	1937.5
1	2026/09/02	16:02	48.1	62.8	62.5	#	#	62.8	16.0	15.3	#	30.7	#	30.7	24.3	0	B	1	1	0	160	4446	160	4260	0	D57D	1004.8	956.25	1961.05
1	2026/09/02	16:03	50.7	66.1	65.9	#	#	63.7	11.3	10.7	#	31.1	#	31.1	24.3	0	B	1	1	0	161	4447	161	4261	0	17C8	746.93	705.13	1452.06
1	2026/09/02	16:04	49.3	64.4	64.1	#	#	59.2	10.2	9.3	#	28.8	#	28.8	24.3	0	B	1	0	0	161	4447	161	4261	0	FD57	656.88	596.13	1253.01
1	2026/09/02	16:05	49.6	64.8	64.5	#	#	36.1	14.5	14.5	#	18.0	#	18.0	24.3	0	B	1	1	0	161	4447	161	4261	0	CEB8	939.6	935.25	1874.85
1	2026/09/02	16:06	48.4	63.2	62.9	#	#	54.4	15.2	15.4	#	26.5	#	26.5	24.3	0	B	1	1	0	162	4448	162	4262	0	7F28	960.64	968.66	1929.3
1	2026/09/02	16:07	49.5	64.7	64.6	#	#	60.3	3.5	3.5	#	29.5	#	29.5	24.3	0	B	1	0	0	162	4448	162	4262	0	9792	226.45	226.1	452.55
